Table,ColumnName,Description
Warehouse,account_identifier,Account Identifier
Warehouse,account_holder_name,Account Holder's Full Name
Warehouse,account_category,"Account Category (e.g., Savings, Checking)"
Warehouse,account_balance,Current Account Balance
Warehouse,account_open_date,Date of Account Opening
Warehouse,last_transaction_date,Date of Last Transaction
Warehouse,branch_location,Branch Location Code
Warehouse,account_status,"Account Status (e.g., Active, Closed)"
Warehouse,interest_rate,Annual Interest Rate
Warehouse,overdraft_eligible,Overdraft Eligibility
Warehouse,overdraft_limit,Maximum Overdraft Limit
Warehouse,last_deposit_amount,Amount of Last Deposit
Warehouse,last_withdrawal_amount,Amount of Last Withdrawal
Warehouse,last_fee_charged,Amount of Last Charged Fees
Warehouse,last_interest_earned,Amount of Last Accrued Interest
Warehouse,residential_address,Residential Address of Account Holder
Warehouse,contact_number,Contact Number of Account Holder
Warehouse,email_address,Email Address of Account Holder
Warehouse,employer_name,Name of Account Holder's Employer
Warehouse,employment_status,"Employment Status (e.g., Employed, Unemployed)"
Warehouse,credit_rating,Credit Rating Score
Warehouse,daily_transaction_limit,Daily Transaction Limit
Warehouse,transaction_history,Summary of Recent Transactions
Warehouse,debit_card_issued,Debit Card Issued Status
Warehouse,credit_card_issued,Credit Card Issued Status
Warehouse,loan_status,Loan Status (if applicable)
Warehouse,approved_loan_amount,Approved Loan Amount (if applicable)
Warehouse,loan_interest_rate,Loan Interest Rate (if applicable)
Warehouse,loan_maturity_date,Loan Maturity Date (if applicable)
Warehouse,insurance_coverage,Insurance Coverage Status
